[0.010s] Invoking command in '/home/jiawen/h12project_ws/build/ros_gz_description': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake /home/jiawen/h12project_ws/src/ros_gz/ros_gz_description -DCMAKE_INSTALL_PREFIX=/home/jiawen/h12project_ws/install/ros_gz_description
[0.052s] -- The C compiler identification is GNU 11.4.0
[0.097s] -- The CXX compiler identification is GNU 11.4.0
[0.103s] -- Detecting C compiler ABI info
[0.156s] -- Detecting C compiler ABI info - done
[0.163s] -- Check for working C compiler: /usr/bin/cc - skipped
[0.163s] -- Detecting C compile features
[0.163s] -- Detecting C compile features - done
[0.166s] -- Detecting CXX compiler ABI info
[0.229s] -- Detecting CXX compiler ABI info - done
[0.236s] -- Check for working CXX compiler: /usr/bin/c++ - skipped
[0.236s] -- Detecting CXX compile features
[0.236s] -- Detecting CXX compile features - done
[0.238s] -- Found ament_cmake: 1.3.12 (/opt/ros/humble/share/ament_cmake/cmake)
[0.365s] -- Found Python3: /usr/bin/python3 (found version "3.10.12") found components: Interpreter 
[0.437s] -- Found ament_lint_auto: 0.12.14 (/opt/ros/humble/share/ament_lint_auto/cmake)
[0.492s] -- Configuring done
[0.494s] -- Generating done
[0.495s] -- Build files have been written to: /home/jiawen/h12project_ws/build/ros_gz_description
[0.500s] Invoked command in '/home/jiawen/h12project_ws/build/ros_gz_description' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake /home/jiawen/h12project_ws/src/ros_gz/ros_gz_description -DCMAKE_INSTALL_PREFIX=/home/jiawen/h12project_ws/install/ros_gz_description
[0.502s] Invoking command in '/home/jiawen/h12project_ws/build/ros_gz_description': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/jiawen/h12project_ws/build/ros_gz_description -- -j20 -l20
[0.534s] Invoked command in '/home/jiawen/h12project_ws/build/ros_gz_description' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/jiawen/h12project_ws/build/ros_gz_description -- -j20 -l20
[0.534s] Invoking command in '/home/jiawen/h12project_ws/build/ros_gz_description': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --install /home/jiawen/h12project_ws/build/ros_gz_description
[0.540s] -- Install configuration: ""
[0.540s] -- Installing: /home/jiawen/h12project_ws/install/ros_gz_description/share/ros_gz_description/models
[0.540s] -- Installing: /home/jiawen/h12project_ws/install/ros_gz_description/share/ros_gz_description/models/rrbot
[0.540s] -- Installing: /home/jiawen/h12project_ws/install/ros_gz_description/share/ros_gz_description/models/rrbot/model.sdf
[0.540s] -- Installing: /home/jiawen/h12project_ws/install/ros_gz_description/share/ros_gz_description/models/diff_drive
[0.540s] -- Installing: /home/jiawen/h12project_ws/install/ros_gz_description/share/ros_gz_description/models/diff_drive/model.sdf
[0.540s] -- Installing: /home/jiawen/h12project_ws/install/ros_gz_description/share/ros_gz_description/models/diff_drive/model.config
[0.541s] -- Installing: /home/jiawen/h12project_ws/install/ros_gz_description/share/ros_gz_description/models/unitree_h1_2
[0.541s] -- Installing: /home/jiawen/h12project_ws/install/ros_gz_description/share/ros_gz_description/models/unitree_h1_2/model.sdf
[0.541s] -- Installing: /home/jiawen/h12project_ws/install/ros_gz_description/share/ros_gz_description/models/unitree_h1_2/model.config
[0.541s] -- Installing: /home/jiawen/h12project_ws/install/ros_gz_description/share/ros_gz_description/models/unitree_h1_2/meshes
[0.541s] -- Installing: /home/jiawen/h12project_ws/install/ros_gz_description/share/ros_gz_description/models/unitree_h1_2/meshes/right_hand_link.STL
